"id","date","description","amount","type"
1,"2026-06-04","Techfusion Sponsorship from Tech Corp","25000.00","credit"
2,"2026-06-04","Techfusion Student Registration Fees","15000.00","credit"
3,"2026-06-04","Techfusion Printing & Posters","3000.00","debit"
4,"2026-06-04","Techfusion Stationery & Certificates","2000.00","debit"
5,"2026-06-04","Techfusion Lunch & Refreshments","15000.00","debit"
6,"2026-06-04","Techfusion Sound & Stage Rental","10000.00","debit"
7,"2026-06-04","Techfusion Winner Trophies","6000.00","debit"
8,"2026-06-04","Alumni Association Funds Contribution","10000.00","credit"
9,"2026-06-04","Alumni High Tea & Catering","8000.00","debit"
10,"2026-06-04","Guest Bouquets & Flowers","1500.00","debit"
11,"2026-06-04","Alumni Mementos & Gifts","4500.00","debit"
12,"2026-06-04","Event Photographer Fee","1500.00","debit"
13,"2026-06-04","CodeStorm Team Registration Fees","4500.00","credit"
14,"2026-06-04","Hackathon Flex Banner Design","1500.00","debit"
15,"2026-06-04","Hackathon Winner Cash Prizes","5000.00","debit"
16,"2026-06-04","Late Night Snacks & Energy Drinks","3000.00","debit"
17,"2026-06-04","Workshop Expert Speaker Remuneration","4000.00","debit"
18,"2026-06-04","Seminar Tea & Coffee Refreshments","1200.00","debit"
19,"2026-06-04","Workshop Notepads & Pens","800.00","debit"
20,"2026-06-04","Sports Equipment (Balls & Whistles)","3500.00","debit"
21,"2026-06-04","Sports Medals & Trophies","2500.00","debit"
22,"2026-06-04","Sports Energy Drinks & Glucose","1500.00","debit"
23,"2026-06-04","Initial Bank Account Balance Credit","150000.00","credit"
24,"2026-06-04","Monthly SAIT Office Domain Hosting Renewal","1200.00","debit"
25,"2026-06-04","SAIT General Club Membership Fee Collections","8500.00","credit"
